name,gender
priyanka,f
lali,f
suneeta,f
suman,f
raman,m
deshraj,m
sudhir,m
raj,m
veer,m
tanveer,m
shabana,f
babram,m
sharda,f
bhagwani,f
irfan,m
monika,f
rajesh,m
neha,f
abdul,m
mayank,m
seema,f
deepali,f
rahul,m
junna,m
mohan,m
pinki,f
soni,f
chanda,f
dinesh,m
amit,m
kunal,m
sayma,f
meena,f
prem,m
nargis,f
kali,f
shibu,m
annu,f
tasleem,m
sneh,f
renu,f
ramesh,m
pramod,m
kishor,m
arpit,m
altaf,m
deepa,f
dharmender,m
salman,m
mukesh,m
manoj,m
priya,f
gaurav,m
bhhatu,m
kusum,f
sandeep,m
dalchand,m
shalu,f
pooja,f
rakhi,f
sahrukh,m
chandru,m
heena,f
shulekha,f
rohit,m
madhu,f
hemlata,f
parsann,f
mahi,f
nasir,m
balram,m
salim,m
dolly,f
vijay,f
rakesh,m
sahira,f
ahmad,m
udaiveer,m
kumari,f
isika,f
sunita,f
geeta,f
ravishankar,m
lokesh,m
kajal,f
pooran,m
leena,f
naresh,m
megha,f
manisha,f
vinay,m
sudesh,f
manpreet,f
parmod,m
sakil,m
ranjeet,m
kusumlata,f
jabir,m
poonam,f
jaibir,m
sarita,f
heera,m
chanchal,f
chandan,m
saroj,f
suneel,m
hariom,m
meenakshi,f
sheetal,f
anjaly,f
simran,f
pushpa,f
varsha,f
mujeeb,m
rajni,f
abhishek,m
ashma,f
inderjeet,m
varsa,f
ashwani,m
nagina,f
tanisha,f
nirma,f
asha,f
suraj,m
ved,m
sahkir,m
jamir,m
praveen,m
tabssum,f
sadod,m
gudiya,f
shweta,f
chertamani,m
chorag,m
manish,m
nena,f
sitara,f
babli,f
shehnaz,f
rashi,f
somnath,m
kamla,f
dhaneshwari,f
sweta,f
mohhmad,m
raja,m
chandra,m
ashok,m
devendra,m
ashfaq,m
rajkumari,f
om,m
baccha,m
aamir,m
rubi,f
boby,m
ravi,m
vimla,f
jyoti,f
sabina,f
ahamad,m
barkha,f
khushbu,f
harsh,m
payal,f
sheeak,m
surendar,m
rukhsana,f
anju,f
manju,f
aditya,m
ranvir,m
satish,m
veeru,m
amarin,f
ram,m
sazzad,m
shahjad,m
anu,f
anuradha,f
anjali,f
neelam,f
sonam,f
vaibahv,m
anita,f
karmveer,m
rekha,f
manjeet,f
santosh,m
karamvir,m
vivek,m
parmila,f
umar,m
chaman,m
mahveer,m
yogesh,m
sushil,m
sonu,m
yashoda,f
sapna,f
nisha,f
kuldeep,m
rikkenchi,f
basanti,f
prakash,m
anam,f
manira,f
unknown,f
ruksana,f
wareesha,f
govind,f
fakrrudeen,m
pardeep,m
prinka,f
roshni,f
gulshan,f
sonali,f
abhash,m
harun,m
bhart,m
prasant,m
mohit,m
omprakash,m
bebi,f
sanjay,m
beeram,m
sania,f
chetana,f
balbir,m
rachnu,f
saneha,f
kamni,f
bhajju,m
divya,f
madan,m
surendra,m
komal,f
aneeta,f
jamila,f
muskuran,m
sonia,f
parul,f
pawan,m
arbana,f
preeti,f
sunder,m
kamal,m
ankit,m
nirmala,f
shashi,m
asho,f
sakina,f
hayatul,m
bhawna,f
mohani,f
sanju,f
charu,f
pukharam,m
sakuntala,f
subhash,m
aagand,m
dhana,f
narayan,m
meera,f
teerath,m
sohan,m
dheeraj,m
siraj,m
rajbala,f
deepak,m
aaysha,f
rupali,f
mamta,f
chet,m
vijay,m
swati,f
sunil,m
ushama,m
charan,m
nirjala,f
rampal,m
sayra,f
lalita,f
lakhi,f
sartaj,m
tabbasum,f
ravina,f
mahaveer,m
jitender,m
sandip,m
shashikant,m
annju,f
puspha,f
paras,m
ramniwas,m
mahendra,m
perdeep,m
marzina,f
ankita,f
sita,f
tariq,m
shifali,f
veepal,m
aarti,f
ajay,m
rupa,f
rasab,m
jagdish,m
rube,f
sunny,m
bhoori,f
meghu,m
sanjeev,m
vimal,m
mantu,m
krishama,f
lalit,m
mahroj,m
reenu,f
reshma,f
priti,f
munnia,f
ali,m
manu,m
saloni,f
nirmal,f
anjani,f
anil,m
mohammad,m
amjat,m
mansi,f
siwani,f
mustak,m
ratiman,m
phool,m
neetu,f
nikhat,f
rinesh,f
shivram,m
nirmal,m
pinky,f
suhail,m
kanchan,f
shina,f
utam,m
karishma,f
prema,f
asish,m
satyanarayan,m
palvi,f
karan,m
babita,f
vijaynti,f
mukhtar,m
razi,m
afreen,f
kaushal,f
suleman,m
nadim,m
gajendra,m
sukhvir,f
fakir,m
suhani,f
jugan,f
shipra,f
arman,m
rikha,f
shikha,f
vanish,m
beena,f
nano,f
rajender,m
vikas,m
yasin,m
rizwana,f
aman,m
akthari,f
vishal,m
vinothini,f
arif,m
jitin,m
sujeet,m
alka,f
nilam,f
ishmita,f
ravinder,m
ranju,f
nirmla,f
kiran,f
laxmeena,f
naveen,m
ramvihar,m
bala,f
bahart,m
guddi,f
devender,m
suresh,m
archana,f
noni,f
lakhan,m
moni,f
mahbub,m
chotan,m
fatima,f
yognder,m
abhijeet,m
arti,f
tarnum,f
khusbu,f
puranmal,m
ramchander,m
depali,f
purva,f
meenu,f
stifen,m
hasina,m
farah,f
rati,m
rani,f
sukhveer,m
inderjeet,f
saana,f
sahil,m
iqbal,m
monu,f
shaba,f
annu,m
sushmita,f
savita,f
anand,m
shardha,m
ramdhin,m
shripal,m
rita,f
rajeev,m
poshetty,m
indu,f
jaid,m
neelu,f
dataterya,m
laxmi,f
parth,m
khushi,f
manmohan,m
akhalak,m
kirshan,m
tabbsum,f
gobind,m
kanta,f
rinku,m
sadique,m
bhavna,f
bablu,m
guddu,m
sanjit,m
viriya,m
reena,f
biram,m
ramhet,m
sheikh,m
leela,m
vandna,f
sushila,f
sunilrawat,m
arsi,f
som,m
farzana,f
ridhima,f
hasan,m
sharda,m
akshay,m
shivani,f
shakil,m
sanjiv,m
raju,m
jaitun,f
maansingh,m
krishana,f
sohil,m
harpal,m
virender,m
premature,f
habiba,f
richa,f
lakhsmi,f
belo,f
kajul,f
shymo,f
aslam,m
hariesh,m
bhavana,f
bharti,f
usmani,f
parmeshwar,m
padma,f
rajenderi,f
chotu,m
sushree,f
sabbir,m
gungun,f
pinki,m
gulshan,m
satya,m
bir,m
syamsunder,m
kashum,f
harpreet,f
taj,m
mitlesh,f
sugna,f
sonu,f
seeta,f
jamshed,m
diya,f
maya,f
chunni,f
nareshpal,m
pritam,m
jabbar,m
jai,m
sahnara,f
arjun,m
kalpana,f
anurag,m
rashida,f
faisal,m
vijaypal,m
kashiv,m
samina,f
sanjeeta,f
puneet,m
karnesh,m
rinki,f
raspal,m
harbai,f
sangeet,f
jitesh,m
prem,f
roshan,f
pooja,m
surajmal,m
chander,m
vicky,m
parveen,m
nahid,m
minakshi,f
monu,m
kewal,m
indu,m
nakched,m
dharamvir,m
benu,m
babali,f
bhanwar,m
shetal,f
rajnesh,m
pulita,f
panna,m
punam,f
trlokchand,m
faijan,m
salma,f
vinod,m
sahjadi,f
zeshan,m
ghanshyam,m
teekam,m
satender,m
bsram,f
soheb,m
rihal,m
bhawana,f
bharat,m
radheshyam,m
disha,f
gurcharan,m
neeraj,m
babu,m
sardar,m
haji,m
radha,f
sumer,m
siya,m
sona,f
eklok,m
durga,f
aaftab,m
rameshwar,m
harbhajan,m
jitu,m
madharam,m
nazim,m
sachin,m
arthi,f
kritika,f
mahima,f
najma,f
sulekha,f
kamlesh,m
deeya,f
simranjeet,f
nitu,f
mul,m
aasha,f
jagat,m
vipin,m
devraj,m
ritu,f
raman,f
shubham,m
sayada,f
nigar,f
rajani,f
savina,f
ratwari,m
nadeem,m
uday,m
kallu,m
neeraj,f
urmila,f
vishnu,m
ramchandra,m
parmita,f
rajkumar,m
santosh,f
irfa,f
ramkumar,m
sarvesh,m
shaid,m
pradeep,m
guddiya,f
shiv,m
gajala,f
preena,f
fahim,m
mehru,f
bhanwari,f
satrudan,m
dilip,m
surjeet,m
vinit,m
dev,m
munna,m
kanwar,m
ramlal,m
arun,m
jaideep,m
narain,m
piyush,m
omprkash,m
manav,m
atul,m
amar,f
soniya,f
salinder,m
attar,f
raj,f
rajvir,m
sameer,m
kailash,m
sajid,m
jasiram,m
baby,f
shiya,f
ruby,f
jeeth,m
arpna,f
nandkishore,m
ashish,m
sanju,m
mangi,f
dhanraj,m
razia,f
naryani,f
jhora,f
himanshu,m
durg,m
janid,f
nand,m
namita,f
kavita,f
bahnu,f
snehlata,f
balraj,m
shahida,f
chain,m
manvir,m
pinku,f
shiwani,f
punit,m
nupur,f
rabina,f
binda,f
dharam,m
tanuja,f
kalu,m
pujadevi,f
gulesta,f
bhagwan,m
sehnawaj,m
sridwrikaprasad,m
kayamuddin,m
kushi,f
kalicharan,m
deepika,f
rinky,f
salmi,f
anooj,m
firdosh,f
shambhu,m
parvej,m
chanden,m
jaiparkash,m
diksha,f
prabhu,f
narbda,f
lisha,f
raveena,f
amjad,m
sumitra,f
indira,f
moshin,m
kamaal,m
munder,m
laxman,m
sangeeta,f
sarbari,f
keshram,m
sonia,m
sehin,m
phooli,f
ramnarayan,m
tarun,m
bhupesh,m
dharmpal,m
shahwaj,m
girish,m
afsana,f
nassin,f
saidas,m
kishan,m
brijesh,m
meeramai,f
krishan,m
khusaboo,m
harvinder,m
rasid,m
abhimanyu,m
narendera,m
himanshi,f
kaushaliya,f
ashmi,f
manender,m
ranjnika,f
mahender,m
brahmanand,m
saidul,m
pallu,m
rama,f
isha,f
prince,m
zarina,f
kelama,f
fazia,f
sanno,f
balaram,m
puran,m
ramswroop,m
doli,f
mina,f
lata,f
nikita,f
saka,f
aniket,m
sayeri,f
muzim,m
imrana,f
navita,f
nitin,m
najira,f
klu,f
vakila,f
rachna,f
ankus,m
ojas,m
gourav,m
indra,f
nandani,f
danwati,f
hina,f
pintu,m
bhagwati,f
aarushi,f
muskan,f
koshal,f
hiralal,m
veeru,f
mansur,m
rashmi,f
kiswar,f
farina,f
ranjna,f
gulista,f
jahid,m
nasreen,f
roopa,f
arvind,m
safali,f
aashish,m
kasturi,f
kirti,f
vikram,m
reema,f
sushant,m
noor,m
pushank,m
shakshi,f
madhuri,f
jahoor,m
savitri,f
vinaysingh,m
satpal,m
danish,m
urvashi,f
rafiq,m
mahesh,m
haider,m
juvel,m
farjana,f
hasibul,m
dibakar,m
mujmmil,m
anwar,m
gudya,f
jeba,f
nasibu,f
hanish,m
puspa,f
rajjoo,f
shashi,f
kalyan,m
shalig,m
jatin,m
batloon,f
sarad,m
versha,f
ranipal,f
madhvi,f
jotyi,f
neelajan,m
krishna,f
sukhram,m
chandni,f
nidhi,f
baljinder,m
jakir,m
bhanu,m
wasim,m
hury,f
manjesh,m
mam,f
rupan,m
jamna,f
janeshwar,m
jawed,m
zishan,m
sufiyan,m
nasrul,m
shivbhagvan,m
suhagini,f
aashma,f
shanker,m
mana,f
rajiya,f
vandana,f
kurban,m
matadeen,m
parveena,f
ramkish,m
nikkhar,f
sandhya,f
balwan,m
vikramjeet,m
shabanam,f
ritu,m
karmbir,m
rustam,m
shahna,f
niraj,m
rinku,f
kalyani,f
manphool,m
pawan,f
sangita,f
kumarage,f
rohtash,m
salesh,m
luv,m
dulari,f
nosi,f
kanchaniya,f
amarjit,m
satish,f
vaibhav,m
mahlikka,f
vimlesh,f
hemant,m
mudasar,m
jot,m
rima,f
riya,f
daya,f
roshani,f
sarafat,m
pappu,m
sher,m
jharna,f
anuj,m
raeeyan,m
tannu,f
kalma,f
shaheen,f
sakhichander,m
dashrath,m
meena,m
vaishali,f
ruchika,f
ranu,f
momina,f
shaving,f
pangita,f
koshlya,f
lateef,m
ramsurat,m
rupak,m
bhismpal,m
goverdhan,m
beauty,f
gulashan,m
golu,m
vikky,m
sabir,m
chhotudevi,f
rubby,f
sukhdevi,f
jaswant,m
rupesh,m
puja,f
manku,m
soonam,f
javal,m
tulsha,f
gautam,m
kapil,m
sultan,m
jayotli,f
naseem,m
bhatri,f
durgesh,f
mamata,f
bhola,m
kaushal,m
aarifun,f
dhiraj,m
gyandeep,m
dhan,m
babul,m
sushma,f
kanya,f
dhirender,m
gulfam,m
najubai,m
deepanshi,f
hira,f
gori,f
ishwer,m
chandermani,m
hawa,f
shayra,f
rohan,m
raghunandan,m
motolal,m
hawa,m
mojis,f
kumkum,f
girjesh,f
manu,f
bimla,f
useel,m
shil,m
asha,m
sone,m
sarswati,f
mohini,f
bhanweri,f
govind,m
harsh,f
birender,m
foolmati,f
aakash,m
gopal,m
moh,m
hukamchand,m
joginder,m
shivraj,m
ram,f
manita,f
mehboob,m
gurdeep,m
ankush,m
anantram,m
sawatri,f
maujim,m
haseena,f
satbar,m
bhrat,m
dilawar,m
vinos,m
disha,m
gufran,m
dhanwanti,f
tejpal,m
zenab,f
mira,f
jhingi,f
anchal,f
naseef,m
sadhana,f
aalam,m
balwant,m
imran,m
tulsi,f
vipan,m
jay,m
anushka,f
bhupender,m
serul,f
lila,f
faizal,m
prashanat,m
laldhari,m
shahera,f
sumit,m
pankaj,m
tinku,m
harishchandr,m
tahir,m
anil,f
afzal,m
hardeep,m
shahnawaz,m
minaxni,f
deyji,m
roobi,f
roshan,m
ashrabi,f
kala,f
toquir,m
nandram,m
shankarlal,m
prinsh,m
shekh,f
ashima,f
ramdyal,m
divy,m
avdesh,m
manimegla,f
nain,m
safe,m
harender,m
kashi,m
uma,m
neharika,f
yogender,m
upender,m
sahana,f
mubarik,m
balveer,m
tayab,m
taranjeet,f
kanahiya,m
farman,m
sabana,f
najis,m
adarsh,m
laxmikant,m
arfan,m
tuba,f
babulal,m
aklim,m
narbahadur,m
prete,f
rijvan,m
samreen,f
katyayani,f
khushabu,f
anjum,f
sukhbeer,m
sony,f
baleshwer,m
ranita,f
ramkanya,f
kudeep,m
huma,f
sashikala,f
lekhraj,m
esrail,m
shenaz,f
shadhna,f
mishrilaal,m
sahin,f
joohi,f
anamika,f
bunti,m
jagjiwan,m
waheeda,f
pradep,m
subhas,m
shanti,f
kulina,f
satnam,m
nikhleshwar,m
bhorelal,m
yograj,m
kistur,m
vikash,m
nanhe,m
khajan,m
urvarshi,f
shivam,m
saddam,m
utkarsh,m
nilesh,f
neeru,f
rvina,f
jugender,m
sukhbir,f
abhay,m
rishab,m
veerander,m
nitasha,f
santoshi,f
hararat,m
shobharam,m
bhuri,f
silpa,f
durgash,f
suhaliya,f
harish,m
hansraj,m
sithal,f
sashi,m
tara,f
kanika,f
sidhart,m
gita,f
nilofar,f
davender,m
rambiri,f
chanda,m
sohaib,m
gulabsha,f
kristina,f
rajkanwar,f
rupal,f
vidya,f
kamlajeet,f
spna,f
akhilesh,m
banshi,m
dharamveer,m
manorma,f
padam,m
jashgul,f
suhel,m
saurabh,m
asagar,m
shyam,m
sadiya,f
darshan,m
vinder,f
radhab,f
rukshana,f
raziya,f
trepti,f
beti,f
anmol,m
keshanti,f
kanisk,m
kirashan,m
rubina,f
pramatma,m
shekhar,m
tikku,m
ashwini,m
firoj,m
daveena,f
sitender,m
dolat,f
avi,f
man,m
laxmanram,m
urwashi,f
sawana,f
munni,f
tulsi,m
gajender,m
dropti,f
rajish,m
kulvinder,f
bina,f
manpritkour,f
jully,f
sabila,f
abhinav,m
mona,f
aamin,m
rajna,f
ranveer,m
sashi,f
bunty,m
buity,f
amol,m
dariya,f
nazreen,f
sujan,m
duni,m
dimpal,f
rahil,m
nagma,f
chandpreet,m
lakhwinder,m
mamchand,m
sarika,f
bobi,m
shahjadi,f
rajpal,m
chetna,f
aijay,m
razni,f
giri,m
ganesh,m
amrin,f
narender,m
gorav,m
kasid,m
sanita,f
aariv,m
vedprakash,m
shamrin,f
hemraj,m
partap,m
shilpi,f
ashu,m
gaura,f
sadhna,f
ekta,f
parmood,m
sakeena,f
rishi,m
tasleem,f
joholal,m
anish,m
aaliya,f
rajeshwari,f
farhan,m
bijander,m
rajat,m
gulreg,m
yameen,m
rukhsar,f
ragini,f
ramotar,m
chirag,m
irfan,f
tina,f
yasmeen,f
raghubir,m
jeeya,m
nasima,f
jaffar,m
ramji,m
imtiaz,m
kunwar,m
nadem,m
lakhmi,m
prachi,f
anchal,m
nathu,m
safiya,f
aftab,m
ameen,m
inda,f
robin,m
naeem,m
mansharam,m
tohmeena,f
moharan,m
parvti,f
wasimuddin,m
nayana,f
anusoya,f
phool,f
riyasat,m
himani,f
farida,f
chanderpati,f
chhanya,f
amrita,f
shobha,f
ahsan,m
bharati,f
radhika,f
udi,f
sima,f
panchi,f
sheela,f
baita,f
mustafa,m
krishna,m
nusrant,f
sundri,f
sheensar,f
sikha,f
jayanti,f
asiwani,m
kumar,m
zeba,f
konika,f
saniya,f
zaheer,m
rijakpal,m
meva,f
prabhat,m
madina,f
devanand,m
sunaina,f
inderpaal,m
jeenat,f
mrityunjay,m
mohar,m
karuna,f
parsi,f
purnima,f
tej,m
minitwa,f
hari,m
nitika,f
badri,m
sharmila,f
tausin,m
anjli,f
gahnshyam,m
darfasha,f
janki,f
leela,f
biru,m
munshi,m
sameeruddin,m
preetam,m
sagar,m
jasoda,f
karishan,m
jubeda,f
santna,f
mariyam,f
samim,m
maigo,f
anguri,f
taravaati,f
anjal,f
hema,f
tek,m
devi,m
shama,f
bilal,m
tool,m
dali,f
parvati,f
surat,m
dharampal,m
prahlad,m
beeti,f
anirudh,m
baikunthi,f
reetu,f
lovely,f
palak,f
sorav,m
mooli,f
sahida,f
ramwati,f
ratni,f
susila,f
bisto,m
tara,m
sadik,m
niru,f
varun,m
rina,f
ghantoli,m
tranoom,f
bhudhashen,m
parwati,f
rishabh,m
munia,f
kasim,m
santro,f
mustkeen,m
mumtaj,m
mohsin,m
yogeshwari,f
bhikhari,m
umesh,m
badrunisha,f
aashif,m
miraj,m
nitesh,m
jyoti,m
khemchand,m
kranti,f
dhurpati,m
bhupendra,m
azad,m
nazia,f
shankar,m
sahbuddin,m
shanu,f
nasim,m
sudhata,f
nijamuddin,m
aash,m
gattu,f
anjna,f
surender,m
sukrita,f
ravish,m
krashana,f
minder,m
sufiya,f
deu,f
furkhan,m
shree,m
bipin,m
sujal,m
jaya,f
dalip,m
khusbhoo,f
shahid,m
harana,f
shima,f
naseema,f
ronak,m
durgawati,f
muzamiil,m
archna,f
tapish,m
charnjeet,m
manbhar,f
gulfara,f
raees,m
adil,m
rahat,f
sahid,m
jon,m
pushpender,m
waseem,m
maushid,m
yaadram,m
navin,m
begum,f
lalaram,m
asfak,m
akash,m
amir,m
rambai,f
dhapu,f
mukiman,f
mala,f
bhuneshwar,m
pinkey,f
sameena,f
aafrin,f
baban,m
naim,m
sitaram,m
parvesh,m
dya,m
ithilesh,m
vijeta,f
jagbir,m
abhishekh,m
hukma,m
jaismeen,f
laxmi,m
deeksha,f
chinki,f
gulnanj,f
niti,f
chunnu,m
saziya,f
shlender,m
visvajeet,m
mandeep,m
nishant,m
kapiil,m
sudha,f
nikhil,m
kamlesh,f
manjit,m
bobby,m
jedu,m
chango,f
rubbi,f
milkhi,m
lal,m
tumpa,f
shgita,f
tarjan,m
keshav,m
saraswati,f
shadan,m
mannulal,m
arshad,m
saksi,f
samadhan,m
sakshi,f
unknown,m
sankarlal,m
raju,f
depander,m
pancu,m
hanuman,m
warnakulasuriya,m
deep,f
arati,f
horam,m
rimpy,f
shkuntala,f
rajneesh,m
aparna,f
sukhbir,m
kundan,m
tek,f
anjara,f
ravinder,f
sikandar,m
sethi,m
robi,f
aajam,m
jawhar,m
dharambir,m
liveri,m
veena,f
ganpat,m
sivani,f
jamee,f
chiranjavi,m
sana,f
shiva,f
sharmili,f
rukshar,f
simmi,f
rimzim,f
shaifali,f
nazma,f
radhamohan,m
gayatri,f
rozi,f
dhanni,f
gurpreet,f
meeta,f
jasina,f
hashrat,m
aatikun,f
gauri,m
sabnam,f
suhsmita,f
sheh,m
gulpacha,f
sarik,m
vijesh,m
nazrin,f
chandani,f
shalini,f
sahiba,f
vimala,f
devika,f
busness,m
shbana,f
mazhar,m
sajiya,f
chahat,f
firakat,m
bhim,m
prinkaya,f
khushi,m
manesh,m
konti,f
ghansyam,m
brijmohan,m
pawni,f
jyotsana,f
ladi,f
mehar,f
noorjahan,f
faiz,m
dharmveer,m
benay,m
gokul,m
mannu,m
forshan,m
vikki,m
kashis,f
sanaali,f
pallavi,f
anandu,m
malti,f
anamol,m
maina,f
minakxi,f
rajiv,m
dara,m
banwari,m
rencho,f
subodh,m
jalil,m
rithik,m
yashbir,m
pramil,f
shoiba,f
ashutosh,m
juli,f
rocky,m
roshini,f
divyansh,m
partima,f
bindu,f
tanjima,f
gurvinder,f
piryanka,f
akaash,m
jeete,m
devkali,f
sabna,f
tushal,m
aasif,m
kumari,m
deepvhand,m
neeta,f
jaimala,f
chandrram,m
mukhtaar,m
parven,f
kamini,f
shahin,f
misri,m
sajjan,m
rehman,m
shabina,f
muhmad,m
ajmal,f
nankesh,m
gulab,m
sameem,m
sintu,f
ujama,f
anisha,f
raghav,m
nanak,m
shahrish,f
ratan,m
sanni,m
phoolwati,f
harikishan,m
rajeet,m
kanki,f
kunda,m
suja,m
pravesh,m
chandracala,f
sahab,m
nek,m
kanti,f
peena,f
kiran,m
badami,f
khurshida,f
rakki,f
shadab,m
sheish,m
gutam,m
ashwani,f
sahna,f
rajkiran,m
sheak,m
lakshmi,f
radhey,m
dayawati,f
rahis,m
bodh,m
gurbachan,m
shimla,f
roji,f
maan,m
vikrant,m
mangat,m
sandeep,f
trilochan,m
deep,m
gya,m
lakh,m
ranjana,f
rakshit,m
shiv,f
kanku,f
lalmuni,f
badshya,m
susma,f
pavan,m
gurlal,m
sahbaj,m
sabbu,m
pawna,m
lilaki,f
subesh,m
ayasha,f
kishna,f
adityalok,m
injmam,m
usha,f
alk,m
anus,m
kirti,m
mahender,f
kamala,f
mustaq,m
sneha,f
tanushri,f
shekh,m
abhaysingh,m
riju,f
ravindar,m
khushnuma,f
jeetu,m
panchuram,m
nency,f
aanad,m
ruchi,f
kouchu,m
bijender,m
tapan,m
gendu,f
abishek,m
chappla,f
kaari,m
vinod,f
mamuni,f
jitendra,m
jaipal,m
garima,f
nirja,f
pratibha,f
ranni,f
barjraj,m
kaptan,m
saira,f
divaie,m
pandu,m
jimi,m
ranjan,m
penzin,m
bal,m
janardhan,m
smshida,f
abida,f
somanti,f
chetan,m
aardhna,f
srishty,f
bhuri,m
narender,f
premwati,f
chander,f
anjana,f
abul,m
jagmal,m
javed,m
koslya,f
rajnish,m
khubchand,m
makrud,m
sabeer,m
ranbir,m
himashu,m
prableen,f
chandra,f
kishore,m
santlal,m
deepti,f
inderjit,m
salmaan,m
nazahat,f
lakhvinder,f
aanand,m
ayush,m
kamar,f
sriniwash,m
sundar,m
gulfasa,f
dinkar,m
uganti,f
jaspreet,m
ratul,m
shkundla,f
kamta,f
lakki,m
aasmin,f
revndrshing,m
omwati,f
axat,m
parkash,m
chitra,f
chunni,m
babuddin,m
bagdai,f
shami,m
rajiq,m
amrik,m
almas,m
muneer,m
farvej,m
vivekanand,m
dhrmveer,m
dharm,m
sobha,f
rupa,m
joydeep,m
mahadev,m
ramrati,f
gordhan,m
manjeet,m
jhunnu,f
seva,f
ritunjay,m
paratibha,m
govinda,m
champa,f
teena,f
bhagirath,m
makan,m
dilbag,m
hasbul,f
komal,m
pram,m
tabwsum,f
vaishanvi,f
sobit,m
bhudhi,m
bhudev,m
akram,m
akhilesh,f
